expert,model_type,file_name,path,exists,size_mb,accuracy,precision,recall,f1,auc,training_time,n_samples,source_timestamp
ichimoku_expert,logistic,ichimoku_expert_logistic.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ichimoku_expert_logistic.pkl,True,0.001403,0.5306499261447563,0.0,0.0,0.0,0.5303368270398982,0.03592324256896973,13539,2026-03-22T09:47:27.071935
pullback_hunter,lightgbm,pullback_hunter_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\pullback_hunter_lightgbm.pkl,True,0.217285,0.5422238640561508,0.5449826989619377,0.148772040302267,0.23373732376947812,0.530125147239266,0.15865683555603027,67674,2026-03-22T09:47:27.071935
flow_aggressor,random_forest,flow_aggressor_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\flow_aggressor_random_forest.pkl,True,2.81861,0.5397001255631878,0.5378739656269892,0.13304991339946465,0.21332996718000505,0.5298333849861037,0.7636425495147705,67693,2026-03-22T09:47:27.071935
swing_expert,xgboost,swing_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\swing_expert_xgboost.pkl,True,0.175901,0.5439527312191005,0.5603070175438597,0.13129496402877697,0.21273938384679433,0.529762751294728,0.29669737815856934,41465,2026-03-22T09:47:27.071935
zone_mapper,lightgbm,zone_mapper_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\zone_mapper_lightgbm.pkl,True,0.221526,0.5356114842423795,0.5191966922622564,0.13827277017461068,0.21838509316770185,0.5295750543793701,0.18703317642211914,67745,2026-03-22T09:47:27.071935
pullback_hunter,xgboost,pullback_hunter_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\pullback_hunter_xgboost.pkl,True,0.178021,0.5411156261544144,0.5404011461318051,0.14845717884130982,0.23292577497838707,0.5289930508677254,0.2819366455078125,67674,2026-03-22T09:47:27.071935
zone_mapper,xgboost,zone_mapper_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\zone_mapper_xgboost.pkl,True,0.177709,0.5407779171894604,0.5451505016722408,0.1282051282051282,0.2075904228222109,0.528669194513401,0.18346238136291504,67745,2026-03-22T09:47:27.071935
fibonacci_expert,logistic,fibonacci_expert_logistic.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\fibonacci_expert_logistic.pkl,True,0.00141,0.5304765422977465,0.0,0.0,0.0,0.5286419352647116,0.039978981018066406,13534,2026-03-22T09:47:27.071935
microstructure_expert,lightgbm,microstructure_expert_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\microstructure_expert_lightgbm.pkl,True,0.21966,0.5370246831220814,0.5250755287009063,0.13730447148048666,0.21768537074148298,0.5282989998874433,0.1758124828338623,67452,2026-03-22T09:47:27.071935
flow_aggressor,gradient_boosting,flow_aggressor_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\flow_aggressor_gradient_boosting.pkl,True,0.287857,0.5407341753452988,0.5412275263484191,0.1374586679263108,0.21923656454043194,0.5277433097395394,5.14879035949707,67693,2026-03-22T09:47:27.071935
flow_aggressor,lightgbm,flow_aggressor_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\flow_aggressor_lightgbm.pkl,True,0.219457,0.5388137971785213,0.5309785755645628,0.14438671075421194,0.2270363951473137,0.5267731445374193,0.14884352684020996,67693,2026-03-22T09:47:27.071935
stats_quant,random_forest,stats_quant_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\stats_quant_random_forest.pkl,True,3.134248,0.5349751502114086,0.5335570469798657,0.07536735661241903,0.13207808389865708,0.5235095838268713,2.0093324184417725,67403,2026-03-22T09:47:27.071935
flow_aggressor,xgboost,flow_aggressor_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\flow_aggressor_xgboost.pkl,True,0.169581,0.5369672797104661,0.5252463054187192,0.13430955754999213,0.21391849529780566,0.5228882888580637,0.18099117279052734,67693,2026-03-22T09:47:27.071935
stats_quant,gradient_boosting,stats_quant_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\stats_quant_gradient_boosting.pkl,True,0.321857,0.5346784363177806,0.5252252252252252,0.09211565808184548,0.1567414975131066,0.5218475162977989,8.27349305152893,67403,2026-03-22T09:47:27.071935
stats_quant,lightgbm,stats_quant_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\stats_quant_lightgbm.pkl,True,0.217759,0.532230546695349,0.505563618771166,0.1651129720334966,0.24892806098141973,0.5203322509078094,0.1679396629333496,67403,2026-03-22T09:47:27.071935
stats_quant,xgboost,stats_quant_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\stats_quant_xgboost.pkl,True,0.186197,0.532527260588977,0.5066732575383095,0.16195291515247273,0.24545019157088122,0.5198374536904975,0.18658161163330078,67403,2026-03-22T09:47:27.071935
risk_guardian,gradient_boosting,risk_guardian_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\risk_guardian_gradient_boosting.pkl,True,0.290297,0.5352611389790499,0.5250403877221325,0.10216912920465263,0.17105263157894737,0.5170200602916066,4.2494659423828125,33890,2026-03-22T09:47:27.071935
