Timeframe,Ativo,Linhas_Original,Linhas_Final,Linhas_Removidas,Status_Final,Nulos_Corrigidos,Erros_OHLC_Corrigidos
11,NETH25,19318,19318,0,✅ OK,0,0
01,AUDCAD,44786,44786,0,✅ OK,0,0
01,AUDJPY,44786,44786,0,✅ OK,0,0
01,GBPJPY,44786,44786,0,✅ OK,0,0
01,LINKUSD,44786,44786,0,✅ OK,0,0
01,NZDCAD,44786,44786,0,✅ OK,0,0
02,DOTUSD,43711,43711,0,✅ OK,0,0
03,XRPUSD,43507,43507,0,✅ OK,0,0
05,XLMUSD,42777,42777,0,✅ OK,0,0
06,BCHUSD,42376,42376,0,✅ OK,0,0
06,DOGEUSD,42376,42376,0,✅ OK,0,0
08,BNBUSD,39540,39540,0,✅ OK,0,0
09,ADAUSD,39694,39694,0,✅ OK,0,0
09,ATMUSD,39694,39694,0,✅ OK,0,0
09,SHBUSD,39694,39694,0,✅ OK,0,0
10,UNIUSD,39618,39618,0,✅ OK,0,0
10,XTZUSD,39618,39618,0,✅ OK,0,0
01,AUDCHF,13195,13195,0,✅ OK,0,0
01,AUDNZD,13195,13195,0,✅ OK,0,0
01,AUDPLN,13195,13195,0,✅ OK,0,0
01,AUDSGD,13195,13195,0,✅ OK,0,0
01,AUDUSD,13195,13195,0,✅ OK,0,0
01,AUS200,13195,13195,0,✅ OK,0,0
01,BTCAUD,13195,13195,0,✅ OK,0,0
01,CADCHF,13195,13195,0,✅ OK,0,0
01,CADJPY,13195,13195,0,✅ OK,0,0
01,CHFJPY,13195,13195,0,✅ OK,0,0
01,CHFPLN,13195,13195,0,✅ OK,0,0
01,CHFSGD,13195,13195,0,✅ OK,0,0
01,CN50,13195,13195,0,✅ OK,0,0
01,ETCUSD,13195,13195,0,✅ OK,0,0
01,EURAUD,13195,13195,0,✅ OK,0,0
01,EURCAD,13195,13195,0,✅ OK,0,0
01,EURCHF,13195,13195,0,✅ OK,0,0
01,EURCZK,13195,13195,0,✅ OK,0,0
01,EURDKK,13195,13195,0,✅ OK,0,0
01,EURGBP,13195,13195,0,✅ OK,0,0
01,EURHUF,13195,13195,0,✅ OK,0,0
01,EURJPY,13195,13195,0,✅ OK,0,0
01,EURMXN,13195,13195,0,✅ OK,0,0
01,EURNOK,13195,13195,0,✅ OK,0,0
01,EURNZD,13195,13195,0,✅ OK,0,0
01,EURPLN,13195,13195,0,✅ OK,0,0
01,EURSEK,13195,13195,0,✅ OK,0,0
01,EURSGD,13195,13195,0,✅ OK,0,0
01,EURTRY,13195,13195,0,✅ OK,0,0
01,EURUSD,13195,13195,0,✅ OK,0,0
01,EURZAR,13195,13195,0,✅ OK,0,0
01,EUSTX50-F,13195,13195,0,✅ OK,0,0
01,EUSTX50,13195,13195,0,✅ OK,0,0
01,FRA40-F,13195,13195,0,✅ OK,0,0
01,FRA40,13195,13195,0,✅ OK,0,0
01,GBPAUD,13195,13195,0,✅ OK,0,0
01,GBPCAD,13195,13195,0,✅ OK,0,0
01,GBPCHF,13195,13195,0,✅ OK,0,0
01,GBPNZD,13195,13195,0,✅ OK,0,0
01,GBPUSD,13195,13195,0,✅ OK,0,0
01,GER40-F,13195,13195,0,✅ OK,0,0
01,GER40,13195,13195,0,✅ OK,0,0
01,HK50-F,13195,13195,0,✅ OK,0,0
01,HK50,13195,13195,0,✅ OK,0,0
01,JPN225-F,13195,13195,0,✅ OK,0,0
01,JPN225,13195,13195,0,✅ OK,0,0
01,LTCUSD,13195,13195,0,✅ OK,0,0
01,MXNJPY,13195,13195,0,✅ OK,0,0
01,NAS100-F,13195,13195,0,✅ OK,0,0
01,NAS100,13195,13195,0,✅ OK,0,0
01,NZDCHF,13195,13195,0,✅ OK,0,0
01,NZDJPY,13195,13195,0,✅ OK,0,0
01,NZDSGD,13195,13195,0,✅ OK,0,0
