expert,key,symbol,timeframe,model,accuracy,precision,recall,f1,auc,n_samples,sharpe,max_drawdown,win_rate,total_return,n_predictions,n_windows
correlation_expert,random_forest_EURUSD_M30,EURUSD,M30,random_forest,0.8215686274509804,0.4,0.003669724770642202,0.007272727272727273,0.501238440914148,3060,-0.0829506487471277,-171669.3990705398,0.4,-0.0002525164384237222,3060,3
correlation_expert,random_forest_EURUSD_H1,EURUSD,H1,random_forest,0.633267845448592,0.32666666666666666,0.09645669291338582,0.14893617021276595,0.4986699558776939,1527,-0.0584455749144966,-16833702.11289059,0.5100671140939598,-0.0023618926516163485,1527,3
correlation_expert,random_forest_GOLD_H1,GOLD,H1,random_forest,0.6216216216216216,0.5748502994011976,0.8807339449541285,0.6956521739130435,0.6262076804416661,222,0.08708013393220299,-5.77162290953583,0.5449101796407185,0.006827984080652438,222,3
correlation_expert,random_forest_GOLD_M30,GOLD,M30,random_forest,0.4754521963824289,0.4713656387665198,0.5631578947368421,0.513189448441247,0.4770104194496393,387,0.17576684573149054,-47004751.634012185,0.5550660792951542,0.019392871216666663,387,3
correlation_expert,random_forest_GOLD_M5,GOLD,M5,random_forest,0.7651056966764588,0.42105263157894735,0.003929273084479371,0.007785888077858881,0.501136884265921,17361,0.200298204484442,-5028207.981934152,0.47368421052631576,0.00771656727042247,17361,3
correlation_expert,random_forest_GOLD_H4,GOLD,H4,random_forest,0.6868686868686869,0.7407407407407407,0.7017543859649122,0.7207207207207207,0.6842105263157895,99,0.6757499842967293,-29976986.17203337,0.5471698113207547,0.06524994192273281,99,3
correlation_expert,random_forest_GOLD_M15,GOLD,M15,random_forest,0.49444444444444446,0.4886731391585761,0.42296918767507,0.45345345345345345,0.4938537398430447,720,0.11578189492973329,-275302113.9664868,0.5016181229773463,0.01204289024669869,720,3
fibonacci_expert,xgboost_EURUSD_H1,EURUSD,H1,xgboost,0.6457105435494433,0.35135135135135137,0.07677165354330709,0.1260096930533118,0.5030570730915751,1527,0.12716699778308435,-5.87953296863901,0.4727272727272727,0.004017283482203204,1527,3
fibonacci_expert,xgboost_EURUSD_M30,EURUSD,M30,xgboost,0.74640522875817,0.2618556701030928,0.23302752293577983,0.24660194174757283,0.5453407992412498,3060,0.2224157791789702,-1.4385462515326657,0.5395833333333333,0.008018423686844134,3060,3
fibonacci_expert,xgboost_EURUSD_M15,EURUSD,M15,xgboost,0.8097337906255103,0.0,0.0,0.0,0.4986924160128747,6123,0.2624558742194409,-339800.87668639136,0.5,0.0007052885378835416,6123,3
fibonacci_expert,xgboost_EURUSD_M5,EURUSD,M5,xgboost,0.9250246629398224,0.0,0.0,0.0,0.5,18246,0.0,0.0,0.0,0.0,18246,3
fibonacci_expert,xgboost_EURUSD_H4,EURUSD,H4,xgboost,0.5301204819277109,0.42441860465116277,0.8021978021978022,0.5551330798479087,0.5878077618583948,249,0.19609841677701545,-4.324458973142749,0.5,0.010985053601688888,249,3
fibonacci_expert,xgboost_GOLD_M30,GOLD,M30,xgboost,0.4289405684754522,0.4423791821561338,0.6263157894736842,0.5185185185185185,0.43244723483836495,387,0.09234951737301202,-508275104.3822364,0.5390334572490706,0.008304729899618168,387,3
fibonacci_expert,xgboost_GOLD_M15,GOLD,M15,xgboost,0.5277777777777778,0.5232876712328767,0.5350140056022409,0.5290858725761773,0.5278375813135172,720,0.13267913005833873,-50895529.793110184,0.5452054794520548,0.016536107205882056,720,3
