source_file,expert,market_key,symbol,timeframe,feature,sharpe,win_rate,threshold,samples
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,swing_high,-0.8912373371489516,0.12030075187969924,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,swing_low,0.9429203583816445,0.893719806763285,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,last_swing_high,-0.06265182616550212,0.5409252669039146,150.689,6759
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,last_swing_low,-0.04528025359987005,0.552772808586762,148.227,6764
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,dist_to_last_high,0.08684668467615825,0.563905325443787,1.6181395232529194,6759
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,dist_to_last_low,0.01634475120501872,0.511925882121033,0.45621973125154536,6764
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,exhaustion_score,0.09544911108732686,0.5586183992029227,0.2,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,reversal_strength,0.07295442205287186,0.4722222222222222,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,momentum_loss,0.04621695657159579,0.5330971883993801,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,acceleration,0.053993991682732535,0.5414125516427307,-0.3650000000000091,6779
backtest_fibonacci_expert.json,fibonacci_expert,USDJPY_H4,USDJPY,H4,fib_0.382,-0.0749581552332744,0.540508574807806,149.646153,6762
backtest_fibonacci_expert.json,fibonacci_expert,USDJPY_H4,USDJPY,H4,fib_0.618,-0.0679649341715504,0.5440567711413364,148.95795850000002,6762
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,avg_volume,-0.06464481842095621,0.4730238393977415,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,volume_ratio,-0.06232959466429612,0.47832369942196534,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,aggression,-0.06232959466429612,0.47832369942196534,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,delta,-0.05757253659910442,0.47530864197530864,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,delta_ma,-0.09533467415801537,0.4587628865979381,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,delta_norm,-0.05757253659910442,0.47530864197530864,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,delta_cum,-0.09533467415801537,0.4587628865979381,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,imbalance,-0.09533467415801537,0.4587628865979381,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,volume_zscore,-0.05248195458360297,0.4731182795698925,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,significant_volume,-0.1138359650647675,0.43846153846153846,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,volume_profile_20,0.07608680490078516,0.5335033619290517,0.0,6762
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,pvc_20,0.07167741946850123,0.5329076620825147,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,dist_to_pvc_20,-0.0538496942165903,0.5427728613569321,149568000000000.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,volume_profile_50,0.07524178599780545,0.5371087928464978,1375660922.8276877,6732
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,pvc_50,0.07167741946850123,0.5329076620825147,0.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,dist_to_pvc_50,-0.0538496942165903,0.5427728613569321,149568000000000.0,6781
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,volume_profile_100,0.0693933640978183,0.539383048817011,1352733240.7805595,6682
backtest_flow_aggressor.json,flow_aggressor,USDJPY_H4,USDJPY,H4,pvc_100,0.07167741946850123,0.5329076620825147,0.0,6781
