symbol,timeframe,tp100_entradas,tp100_wins,tp100_win_rate,tp100_score,tp100_target_efficiency,tp200_entradas,tp200_wins,tp200_win_rate,tp200_score,tp200_target_efficiency,tp300_entradas,tp300_wins,tp300_win_rate,tp300_score,tp300_target_efficiency,tp400_entradas,tp400_wins,tp400_win_rate,tp400_score,tp400_target_efficiency,tp500_entradas,tp500_wins,tp500_win_rate,tp500_score,tp500_target_efficiency,entradas_media_por_alvo,favor_media,contra_media,favor_apos_voltar_media,favor_contra_ratio,recovery_favor_ratio,stop_curto,stop_sugerido,stop_folgado,best_target,best_target_win_rate,best_target_score,best_target_entries,win_rate_decay_100_to_500,score_decay_100_to_500
AUDSGD,M30,46798,45067,96.30112397965723,94.64600416600541,96.30112397965723,46798,42485,90.78379417923844,177.44365320175808,181.56758835847688,46798,39800,85.04636950297021,248.44787312131075,255.13910850891062,46798,36737,78.50121800076927,304.3849064079581,314.0048720030771,46798,33705,72.02230864566862,347.5924885084453,360.1115432283431,46798.0,1184.5640929467609,44.74656097011994,1140.8056046351107,26.472740412638537,0.9630594169001374,60,70,90,500,72.02230864566862,347.5924885084453,46798,24.278815333988618,-252.94648434243987
AUDSGD,M5,26527,23863,89.9574018924115,86.55933468032399,89.9574018924115,26527,20854,78.61424209296189,149.99228475117437,157.22848418592378,26527,17987,67.80638594639424,192.52595438902233,203.41915783918273,26527,15327,57.778866814943264,216.8292988005463,231.11546725977306,26527,12754,48.07931541448336,222.82841651983375,240.3965770724168,26527.0,596.7202815747701,33.83653488552753,576.7746801714047,17.63538387059729,0.9665746212753241,50,60,70,500,48.07931541448336,222.82841651983375,26527,41.878086477928136,-136.26908183950977
AUDUSD,H1,45393,44649,98.36098076795982,97.46033992288284,98.36098076795982,45393,43773,96.43116780120285,190.9012627945768,192.8623356024057,45393,42334,93.26107549622188,276.0801883904258,279.78322648866566,45393,41098,90.53818870750996,356.9534908117527,362.15275483003984,45393,39760,87.59059766924415,431.13402345331946,437.9529883462208,45393.0,1473.810309213283,54.94998639862772,1451.1295934086645,26.820940381948265,0.9846108310792656,70,90,110,500,87.59059766924415,431.13402345331946,45393,10.77038309871567,-333.6736835304366
AUDUSD,H4,600,600,100.0,100.0,100.0,600,600,100.0,200.0,200.0,600,600,100.0,300.0,300.0,600,600,100.0,400.0,400.0,600,600,100.0,500.0,500.0,600.0,3294.5768771370854,137.95671215474215,3282.2085454717653,23.88123655351956,0.9962458512496256,180,210,280,500,100.0,500.0,600,0.0,-400.0
AUDUSD,M15,103801,96669,93.12916060538916,91.0041911346131,93.12916060538916,103801,89106,85.84310363098622,167.30785247046174,171.68620726197244,103801,81691,78.69962717122185,229.51123779537352,236.0988815136656,103801,73922,71.21511353455169,275.9580476859748,284.8604541382068,103801,66679,64.23733875396191,310.1262455513365,321.1866937698095,103801.0,809.4856099915911,30.92736343746873,785.5718768924743,26.17376717553361,0.9704581121579966,50,50,70,500,64.23733875396191,310.1262455513365,103801,28.89182185142725,-219.12205441672344
AUDUSD,M30,100755,97010,96.28306287529156,94.60377503029991,96.28306287529156,100755,93911,93.20728499826312,183.3456658547044,186.41456999652624,100755,89744,89.0715100987544,262.2771101464093,267.2145302962632,100755,85341,84.70150364746166,331.8942541512082,338.80601458984665,100755,80876,80.26996178849684,392.4359069209653,401.3498089424842,100755.0,1094.3741426727972,45.179344945829605,1072.131832152615,24.222886453106785,0.9796757711518664,60,70,100,500,80.26996178849684,392.4359069209653,100755,16.01310108679472,-297.8321318906653
AUDUSD,M5,16336,14616,89.47110675808031,85.4968214343771,89.47110675808031,16336,13144,80.46033300685602,153.54513185483958,160.92066601371204,16336,11666,71.4128305582762,203.447844894774,214.2384916748286,16336,10280,62.92850146914789,237.7208245275528,251.7140058765916,16336,9108,55.75416258570029,262.0695720449394,278.77081292850147,16336.0,735.3044735864148,37.74646805117186,714.641949747262,19.48008678772548,0.9718993633489754,50,60,80,500,55.75416258570029,262.0695720449394,16336,33.71694417238002,-176.57275061056228
CADCHF,H1,43813,43415,99.09159381918607,98.6835066577752,99.09159381918607,43813,42117,96.12900280738592,190.51902112795565,192.25800561477183,43813,40838,93.20977791979548,276.5789334950715,279.62933375938644,43813,39066,89.1653162303426,351.7939539786131,356.6612649213704,43813,37355,85.26008262387876,419.6787375204205,426.3004131193938,43813.0,1637.7968083123685,44.92342412787558,1594.6881843844333,36.45752388806971,0.973678893675871,60,70,90,500,85.26008262387876,419.6787375204205,43813,13.831511195307314,-320.99523086264526
CADCHF,H4,4839,4838,99.97933457325894,99.9631664733156,99.97933457325894,4839,4836,99.93800371977682,199.82750313972363,199.87600743955363,4839,4836,99.93800371977682,299.7655068595005,299.81401115933045,4839,4835,99.91733829303575,399.6046807723697,399.669353172143,4839,4830,99.81401115933043,498.92454289716215,499.0700557966521,4839.0,2642.1510675471163,78.23743562578014,2567.8749931731413,33.770931349937115,0.971888028929435,100,120,160,500,99.81401115933043,498.92454289716215,4839,0.1653234139285047,-398.96137642384656
CADCHF,M15,8328,7936,95.29298751200768,93.28342663457362,95.29298751200768,8328,7350,88.25648414985591,171.4993189677462,176.51296829971182,8328,6575,78.95052833813641,227.8649518048635,236.8515850144092,8328,5564,66.81075888568684,253.07358078451327,267.2430355427473,8328,4536,54.46685878962536,252.89486831743807,272.3342939481268,8328.0,673.9625202965717,42.69291578385439,651.2147784988467,15.786284630755173,0.9662477643583484,60,70,90,400,66.81075888568684,253.07358078451327,8328,40.82612872238232,-159.61144168286444
