symbol,timeframe,tp100_entradas,tp100_wins,tp100_win_rate,tp100_score,tp100_target_efficiency,tp200_entradas,tp200_wins,tp200_win_rate,tp200_score,tp200_target_efficiency,tp300_entradas,tp300_wins,tp300_win_rate,tp300_score,tp300_target_efficiency,tp400_entradas,tp400_wins,tp400_win_rate,tp400_score,tp400_target_efficiency,tp500_entradas,tp500_wins,tp500_win_rate,tp500_score,tp500_target_efficiency,entradas_media_por_alvo,favor_media,contra_media,favor_apos_voltar_media,favor_contra_ratio,recovery_favor_ratio,stop_curto,stop_sugerido,stop_folgado,best_target,best_target_win_rate,best_target_score,best_target_entries,win_rate_decay_100_to_500,score_decay_100_to_500,tp100_best_pattern_name,tp100_best_pattern_wr,tp100_best_pattern_entries,tp100_best_pattern_score,tp100_best_pattern_stop,tp200_best_pattern_name,tp200_best_pattern_wr,tp200_best_pattern_entries,tp200_best_pattern_score,tp200_best_pattern_stop,tp300_best_pattern_name,tp300_best_pattern_wr,tp300_best_pattern_entries,tp300_best_pattern_score,tp300_best_pattern_stop,tp400_best_pattern_name,tp400_best_pattern_wr,tp400_best_pattern_entries,tp400_best_pattern_score,tp400_best_pattern_stop,tp500_best_pattern_name,tp500_best_pattern_wr,tp500_best_pattern_entries,tp500_best_pattern_score,tp500_best_pattern_stop,compra_entries,compra_avg_wr,compra_best_score,venda_entries,venda_avg_wr,venda_best_score,prev_alta_entries,prev_alta_avg_wr,prev_alta_best_score,prev_baixa_entries,prev_baixa_avg_wr,prev_baixa_best_score,prev_doji_entries,prev_doji_avg_wr,prev_doji_best_score
AUDJPY,M30,49387,48548,98.30117237329662,96.98399995580297,98.30117237329662,49387,47567,96.31481968939195,189.77236428958435,192.6296393787839,49387,46791,94.7435559965173,280.1551261590233,284.23066798955193,49387,45435,91.99789418267966,361.7872079655996,367.99157673071863,49387,44234,89.56608014254763,439.7405443750209,447.83040071273814,49387.0,2254.974804067634,77.5342004562084,2189.4134032142083,29.08361459549929,0.9709258831911852,100,120,160,500,89.56608014254763,439.7405443750209,49387,8.73509223074899,-342.7565444192179,compra_acima_minima_prev_alta,99.3646572104019,6768,98.86164680493052,120,venda_abaixo_minima_prev_alta,98.50746268656717,737,196.41928799128578,60,venda_abaixo_minima_prev_alta,98.50746268656717,737,294.926750677853,60,compra_acima_minima_prev_alta,94.03073286052008,6768,371.39697321393044,120,compra_acima_minima_prev_alta,91.96217494089836,6768,453.4472081794584,120,220260,94.40978843185326,455.4798452323783,26675,92.3261480787254,454.2117046083888,141995,94.25965703017712,453.4472081794584,103260,94.10807669959325,454.2117046083888,1680,92.55952380952381,455.4798452323783
AUDJPY,M5,127490,120394,94.43407326064788,92.68417455257773,94.43407326064788,127490,113123,88.73088085340027,173.9188086714505,177.46176170680053,127490,105207,82.521766413052,242.07023259429602,247.56529923915605,127490,96707,75.85457682955527,295.82711059745964,303.4183073182211,127490,88606,69.5003529688603,337.91283285943695,347.50176484430153,127490.0,979.8553844579568,31.43948510313724,963.1851766904804,31.166394144572486,0.9829870733652384,50,50,70,500,69.5003529688603,337.91283285943695,127490,24.93372029178758,-245.22865830685922,compra_acima_minima_prev_alta,95.58893784171134,18839,94.23956488832407,50,compra_acima_minima_prev_alta,90.00477732363713,18839,176.9519502294304,50,compra_acima_minima_prev_doji,84.13978494623656,744,248.56579263329255,50,compra_acima_minima_prev_doji,77.15053763440861,744,303.0504083772877,50,compra_acima_minima_prev_doji,70.56451612903226,744,345.67063045036167,50,634240,82.17772452068617,345.87695588918587,3210,88.25545171339564,500.0,341640,82.43853178784686,347.16652532553775,282740,81.91730918865389,399.5265952132604,13070,82.48661055853098,500.0
AUDNZD,H1,24620,23909,97.11210398050363,95.30114240868365,97.11210398050363,24620,22892,92.9813160032494,181.5613076800503,185.9626320064988,24620,21931,89.07798537774167,260.38490456272723,267.233956133225,24620,20591,83.6352558895207,324.2789079844364,334.5410235580828,24620,19957,81.06011372867587,393.4236153249596,405.3005686433794,24620.0,1584.350448648635,62.708683401135744,1571.19017997962,25.265248171271203,0.9916935873112975,80,100,130,500,81.06011372867587,393.4236153249596,24620,16.05199025182776,-298.12247291627597,compra_acima_maxima_prev_baixa,98.91952309985098,2684,98.24368115528726,100,compra_acima_maxima_prev_baixa,95.08196721311477,2684,187.0876883337326,100,compra_acima_fechamento_prev_baixa,90.77499414656988,4271,267.61586986135677,80,compra_acima_abertura_prev_alta,85.14767932489451,2370,334.27005132133854,70,compra_acima_abertura_prev_alta,82.15189873417722,2370,403.16392063453577,70,117900,88.90924512298558,482.5437502768872,5200,85.6923076923077,500.0,46395,88.1926931781442,438.14288987513754,75100,88.98135818908122,393.2612745612329,1605,95.82554517133957,500.0
AUDNZD,M15,236232,220007,93.131751837177,90.15438479924097,93.131751837177,236232,202295,85.63403772562566,165.0404695858316,171.26807545125132,236232,178323,75.4863862643503,215.8325734124754,226.4591587930509,236232,156209,66.12524975447865,249.81638623044125,264.5009990179146,236232,136969,57.98071387449626,271.68832226698703,289.9035693724813,236232.0,703.8699671541576,43.34973005273984,694.4422036761557,16.23700923354271,0.986605816530138,60,70,90,500,57.98071387449626,271.68832226698703,236232,35.151037962680746,-181.53393746774606,compra_acima_minima_prev_doji,95.69336778639104,1161,93.6268075332133,80,compra_acima_minima_prev_doji,89.66408268733849,1161,174.36842076705042,80,compra_acima_maxima_prev_doji,83.76623376623377,770,244.4339354653656,70,compra_acima_maxima_prev_doji,76.75324675324676,770,297.18264233965033,70,compra_acima_maxima_prev_doji,67.01298701298701,770,321.11573089159697,70,1177455,75.65172342042796,321.11573089159697,3705,81.99730094466936,343.55473262170875,514025,75.66168960653664,340.679878529972,646000,75.49752321981424,343.55473262170875,21135,81.23491838183108,321.11573089159697
AUDNZD,M30,51816,50111,96.7095105758839,94.67796813643446,96.7095105758839,51816,48443,93.49042766712984,182.96185671357756,186.98085533425967,51816,44515,85.90975760382892,249.02998169687066,257.72927281148674,51816,40811,78.76138644434153,301.9328627591015,315.0455457773661,51816,37752,72.8578045391385,347.53147849134234,364.2890226956925,51816.0,1090.9492528786673,61.73982583138557,1084.5156711942868,17.670105773223785,0.9941027672291829,80,100,130,500,72.8578045391385,347.53147849134234,51816,23.851706036745398,-252.85351035490788,compra_acima_abertura_prev_alta,96.49459783913564,4165,95.45444972525381,50,compra_acima_abertura_prev_alta,94.1656662665066,4165,186.60012711059346,50,compra_acima_minima_prev_alta,89.59731543624162,4172,260.1552517505271,130,compra_acima_abertura_prev_alta,83.84153661464586,4165,330.57149111171725,50,compra_acima_abertura_prev_alta,78.22328931572629,4165,384.65470452869437,50,256690,85.50781097822276,458.6243418521739,2390,89.6234309623431,500.0,80530,87.85173227368682,384.65470452869437,174710,84.26363688397916,367.60772300150734,3840,95.52083333333333,500.0
AUDNZD,M5,5,5,100.0,100.0,100.0,5,5,100.0,200.0,200.0,5,5,100.0,300.0,300.0,5,5,100.0,400.0,400.0,5,1,20.0,23.358915300211493,100.0,5.0,482.397091654149,95.80135587473563,482.397091654149,5.035388980087801,0.999999999997927,120,150,200,400,100.0,400.0,5,80.0,76.64108469978851,compra_acima_minima_prev_baixa,100.0,2,100.0,140,compra_acima_minima_prev_baixa,100.0,2,200.0,140,compra_acima_minima_prev_baixa,100.0,2,300.0,140,compra_acima_minima_prev_baixa,100.0,2,400.0,140,compra_acima_minima_prev_baixa,50.0,2,206.2501896296501,140,25,84.0,400.0,0,,,0,,,25,84.0,400.0,0,,
AUDUSD,H1,45393,44649,98.36098076795982,97.46033992288284,98.36098076795982,45393,43773,96.43116780120285,190.9012627945768,192.8623356024057,45393,42334,93.26107549622188,276.0801883904258,279.78322648866566,45393,41098,90.53818870750996,356.9534908117527,362.15275483003984,45393,39760,87.59059766924415,431.13402345331946,437.95298834622076,45393.0,1473.810309213283,54.94998639862772,1451.1295934086645,26.820940381948265,0.9846108310792655,70,90,110,500,87.59059766924415,431.13402345331946,45393,10.77038309871567,-333.6736835304366,venda_abaixo_abertura_prev_baixa,99.811320754717,530,99.75547092530239,50,venda_abaixo_abertura_prev_baixa,99.24528301886792,530,198.26716672007737,50,venda_abaixo_abertura_prev_baixa,99.05660377358492,530,296.8905621736817,50,venda_abaixo_maxima_prev_baixa,98.86792452830188,530,395.01053193598733,70,compra_acima_minima_prev_alta,88.89846949773657,4639,438.35307077603466,90,211925,92.99421965317919,454.5765016955107,15040,96.64893617021276,460.9945873717414,90215,93.57313085407083,460.9945873717414,134140,92.98643208588042,434.55437693070337,2610,94.44444444444444,454.5765016955107
AUDUSD,M15,103801,96669,93.12916060538916,91.0041911346131,93.12916060538916,103801,89106,85.84310363098622,167.30785247046174,171.68620726197244,103801,81691,78.69962717122185,229.51123779537352,236.09888151366556,103801,73922,71.21511353455169,275.9580476859748,284.86045413820676,103801,66679,64.23733875396191,310.1262455513365,321.1866937698095,103801.0,809.4856099915911,30.92736343746873,785.5718768924743,26.17376717553361,0.9704581121579966,50,50,70,500,64.23733875396191,310.1262455513365,103801,28.891821851427252,-219.12205441672342,compra_acima_minima_prev_alta,94.90894589924233,15046,93.54035673012028,50,compra_acima_minima_prev_alta,87.75089724843812,15046,172.20896180928887,50,compra_acima_minima_prev_alta,80.4998006114582,15046,236.25731224925178,50,compra_acima_minima_prev_alta,73.10248571048784,15046,285.17928962075433,50,compra_acima_minima_prev_alta,65.95108334441048,15046,320.6023066523236,50,518645,78.61003191007336,320.6023066523236,360,100.0,500.0,274260,79.06402683584919,500.0,236365,78.19727963107906,500.0,8380,76.31264916467781,304.39975360209564
AUDUSD,M30,100755,97010,96.28306287529156,94.60377503029993,96.28306287529156,100755,93911,93.20728499826312,183.3456658547044,186.41456999652624,100755,89744,89.0715100987544,262.2771101464093,267.2145302962632,100755,85341,84.70150364746166,331.8942541512082,338.80601458984665,100755,80876,80.26996178849684,392.43590692096524,401.34980894248423,100755.0,1094.3741426727972,45.179344945829605,1072.131832152615,24.222886453106785,0.9796757711518665,60,70,100,500,80.26996178849684,392.43590692096524,100755,16.01310108679472,-297.8321318906653,compra_acima_minima_prev_alta,97.87683823529412,10880,97.01606792206397,70,compra_acima_minima_prev_alta,94.71507352941175,10880,187.28753697177876,70,compra_acima_minima_prev_alta,91.19485294117648,10880,270.0147841045923,70,compra_acima_minima_prev_alta,87.27022058823529,10880,343.91998675197254,70,compra_acima_minima_prev_alta,82.61029411764706,10880,406.001351832255,70,494390,89.13064584639658,440.7124685148616,9385,66.37187000532765,300.0,204345,89.37581051652842,406.001351832255,292995,88.16532705336269,401.5079742230976,6435,92.1056721056721,440.7124685148616
AUDUSD,M5,16336,14616,89.47110675808031,85.4968214343771,89.47110675808031,16336,13144,80.46033300685602,153.54513185483958,160.92066601371204,16336,11666,71.4128305582762,203.44784489477397,214.2384916748286,16336,10280,62.92850146914789,237.72082452755282,251.71400587659156,16336,9108,55.75416258570029,262.0695720449394,278.77081292850147,16336.0,735.3044735864148,37.74646805117186,714.641949747262,19.480086787725476,0.9718993633489754,50,60,80,500,55.75416258570029,262.0695720449394,16336,33.71694417238002,-176.57275061056228,compra_acima_minima_prev_alta,91.05651105651106,2035,88.49947249819739,50,compra_acima_maxima_prev_baixa,82.85280728376327,659,157.0109857028555,80,compra_acima_minima_prev_alta,72.28501228501229,2035,208.93102725674612,50,compra_acima_minima_prev_baixa,64.17462482946794,3665,244.01043786799596,60,compra_acima_minima_prev_baixa,56.83492496589359,3665,268.88710524553534,60,81680,72.00538687561215,287.6572742068907,0,,,35580,71.07363687464868,267.2640823347279,44865,72.66020283071437,268.88710524553534,1235,75.06072874493927,287.6572742068907
CADCHF,H1,43813,43415,99.09159381918607,98.6835066577752,99.09159381918607,43813,42117,96.12900280738592,190.51902112795565,192.25800561477183,43813,40838,93.20977791979548,276.5789334950715,279.62933375938644,43813,39066,89.1653162303426,351.7939539786131,356.6612649213704,43813,37355,85.26008262387876,419.67873752042044,426.3004131193938,43813.0,1637.7968083123685,44.92342412787558,1594.6881843844333,36.45752388806971,0.973678893675871,60,70,90,500,85.26008262387876,419.67873752042044,43813,13.831511195307314,-320.99523086264526,venda_abaixo_maxima_prev_baixa,99.6864757018669,7017,99.52907795352515,80,venda_abaixo_abertura_prev_alta,97.784911717496,3115,194.56538523090651,70,venda_abaixo_maxima_prev_alta,94.1445737173374,5243,280.19764810151565,60,venda_abaixo_maxima_prev_baixa,90.53726663816444,7017,357.39851632997943,80,venda_abaixo_maxima_prev_baixa,87.05999714977911,7017,428.8037514082451,80,2985,99.32998324958123,500.0,216080,92.47778600518326,470.4669373713929,79735,92.6769925377814,483.89715309647227,134600,92.36627043090638,500.0,4730,96.61733615221988,500.0
CADCHF,M15,8328,7936,95.29298751200768,93.28342663457362,95.29298751200768,8328,7350,88.25648414985591,171.4993189677462,176.51296829971182,8328,6575,78.95052833813641,227.8649518048635,236.8515850144092,8328,5564,66.81075888568684,253.07358078451327,267.24303554274735,8328,4536,54.46685878962536,252.89486831743807,272.3342939481268,8328.0,673.9625202965717,42.69291578385439,651.2147784988467,15.786284630755173,0.9662477643583485,60,70,90,400,66.81075888568684,253.07358078451327,8328,40.82612872238232,-159.61144168286444,venda_abaixo_maxima_prev_baixa,97.94238683127573,972,97.2237036245237,60,venda_abaixo_maxima_prev_baixa,91.46090534979425,972,179.93927539156752,60,venda_abaixo_maxima_prev_baixa,82.92181069958848,972,242.80036148272345,60,venda_abaixo_maxima_prev_baixa,70.98765432098766,972,273.8171840687468,60,venda_abaixo_maxima_prev_baixa,58.23045267489712,972,276.5629942774192,60,5555,79.33393339333934,500.0,36085,76.35859775529998,276.5629942774192,21395,76.5973358261276,319.049655498418,19875,77.13207547169812,276.5629942774192,370,65.67567567567568,500.0
CADCHF,M30,75757,73189,96.6102142376282,95.40321032393517,96.6102142376282,75757,69165,91.2984938685534,179.4986350116144,182.5969877371068,75757,64597,85.26868804202911,250.56067328620645,255.80606412608736,75757,58633,77.3961482107264,301.5360200165507,309.5845928429056,75757,53192,70.21397362619956,340.4639322616508,351.0698681309978,75757.0,998.7770292097948,35.60708547104458,972.2586721169912,28.049951743282758,0.9734491720191466,50,60,80,500,70.21397362619956,340.4639322616508,75757,26.396240611428638,-245.06072193771564,compra_acima_minima_prev_baixa,100.0,622,100.0,160,venda_abaixo_maxima_prev_alta,92.75445002282063,8764,183.5377980670834,50,venda_abaixo_maxima_prev_alta,87.26608854404382,8764,258.3340927060361,50,venda_abaixo_maxima_prev_alta,80.2259242355089,8764,315.5242957942548,50,venda_abaixo_maxima_prev_alta,73.3226837060703,8764,359.35603833213366,50,16625,79.51278195488722,435.4999847204886,362160,84.37072012370223,359.35603833213366,137115,85.22626991941071,359.35603833213366,229870,84.05229042502283,358.97209327308695,11800,73.78813559322033,435.4999847204886
